,Date_,Australian Dollar,Chinese Yuan,Euro,Japanese Yen,Brazilian Real,Korean Won,U.K. Pound Sterling
0,1996-01,0.7447,8.3138,0.7447,0.7447,0.7447,0.7447,1.5067
1,1996-02,0.7635,8.32,0.7635,0.7635,0.7635,0.7635,1.5330000000000001
2,1996-03,0.7793,8.3338,0.7793,0.7793,0.7793,0.7793,1.5254
3,1996-04,0.7854,8.3301,0.7854,0.7854,0.7854,0.7854,1.5081
4,1996-06,0.789,8.3221,0.789,0.789,0.789,0.789,1.5485
5,1996-07,0.7731,8.3107,0.7731,0.7731,0.7731,0.7731,1.558
6,1996-08,0.7909,8.3063,0.7909,0.7909,0.7909,0.7909,1.5572
7,1996-09,0.7924,8.3017,0.7924,0.7924,0.7924,0.7924,1.5622
8,1996-10,0.7919,8.3,0.7919,0.7919,0.7919,0.7919,1.6282
9,1996-11,0.8107,8.3012,0.8107,0.8107,0.8107,0.8107,1.6825
10,1996-12,0.7965,8.2984,0.7965,0.7965,0.7965,0.7965,1.6980000000000002
11,1997-01,0.762,8.2934,0.762,0.762,0.762,0.762,1.6019999999999999
12,1997-02,0.7758,8.2954,0.7758,0.7758,0.7758,0.7758,1.6298
13,1997-03,0.7865,8.2964,0.7865,0.7865,0.7865,0.7865,1.6293
14,1997-04,0.7811,8.2945,0.7811,0.7811,0.7811,0.7811,1.6294
15,1997-05,0.7613,8.2919,0.7613,0.7613,0.7613,0.7613,1.6393
16,1997-06,0.7455,8.2907,0.7455,0.7455,0.7455,0.7455,1.6633
17,1997-07,0.7452,8.2903,0.7452,0.7452,0.7452,0.7452,1.6364
18,1997-08,0.7344,8.2884,0.7344,0.7344,0.7344,0.7344,1.6228
19,1997-09,0.7198,8.2849,0.7198,0.7198,0.7198,0.7198,1.6132
20,1997-10,0.7011000000000001,8.28395,0.7011000000000001,0.7011000000000001,0.7011000000000001,0.7011000000000001,1.66925
21,1997-11,0.6803,8.2796,0.6803,0.6803,0.6803,0.6803,1.6769
22,1998-01,0.6693,8.2785,0.6693,0.6693,0.6693,0.6693,1.6382
23,1998-02,0.6693,8.27935,0.6693,0.6693,0.6693,0.6693,1.6417000000000002
24,1998-03,0.6634,8.2793,0.6634,0.6634,0.6634,0.6634,1.6801
25,1998-04,0.6499,8.2779,0.6499,0.6499,0.6499,0.6499,1.6706
26,1998-05,0.6236,8.2793,0.6236,0.6236,0.6236,0.6236,1.6302
27,1998-06,0.6135,8.2797,0.6135,0.6135,0.6135,0.6135,1.6627
28,1998-07,0.6196666666666667,8.279733333333333,0.6196666666666667,0.6196666666666667,0.6196666666666667,0.6196666666666667,1.6409000000000002
29,1998-08,0.5747,8.27995,0.5747,0.5747,0.5747,0.5747,1.6386
30,1998-09,0.59675,8.2785,0.59675,0.59675,0.59675,0.59675,1.6855
31,1998-10,0.6242000000000001,8.2777,0.6242000000000001,0.6242000000000001,0.6242000000000001,0.6242000000000001,1.6905999999999999
32,1998-11,0.6271,8.2777,0.6271,0.6271,0.6271,0.6271,1.6589
33,1999-01,0.6338615384615385,8.278699999999999,0.6338615384615385,0.6338615384615385,0.6338615384615385,0.6338615384615385,1.6499
34,1999-02,0.640225,8.2781125,0.640225,0.640225,0.640225,0.640225,1.6270874999999998
35,1999-03,0.6300347826086956,8.279152173913042,0.6300347826086956,0.6300347826086956,0.6300347826086956,0.6300347826086956,1.6202478260869566
36,1999-04,0.6418368421052629,8.279186363636365,0.6418368421052629,0.6418368421052629,0.6418368421052629,0.6418368421052629,1.6102149999999997
37,1999-05,0.6627849999999998,8.278535,0.6627849999999998,0.6627849999999998,0.6627849999999998,0.6627849999999998,1.6153736842105262
38,1999-06,0.6555571428571428,8.277986363636364,0.6555571428571428,0.6555571428571428,0.6555571428571428,0.6555571428571428,1.5957227272727275
39,1999-07,0.6574142857142855,8.277599999999998,0.6574142857142855,0.6574142857142855,0.6574142857142855,0.6574142857142855,1.5735809523809525
40,1999-08,0.6449857142857142,8.277254545454547,0.6449857142857142,0.6449857142857142,0.6449857142857142,0.6449857142857142,1.6070095238095234
41,1999-09,0.6490368421052632,8.277440000000002,0.6490368421052632,0.6490368421052632,0.6490368421052632,0.6490368421052632,1.6234050000000004
42,1999-10,0.6513722222222222,8.277530000000002,0.6513722222222222,0.6513722222222222,0.6513722222222222,0.6513722222222222,1.65775
43,1999-11,0.640142105263158,8.278194736842105,0.640142105263158,0.640142105263158,0.640142105263158,0.640142105263158,1.6257210526315788
44,1999-12,0.6392105263157893,8.27933,0.6392105263157893,0.6392105263157893,0.6392105263157893,0.6392105263157893,1.6130578947368421
45,2000-01,0.6576176470588235,8.279247368421053,0.6576176470588235,0.6576176470588235,0.6576176470588235,0.6576176470588235,1.64165
46,2000-02,0.6291899999999999,8.278120000000001,0.6291899999999999,0.6291899999999999,0.6291899999999999,0.6291899999999999,1.6001049999999999
47,2000-03,0.6096130434782608,8.278560869565215,0.6096130434782608,0.6096130434782608,0.6096130434782608,0.6096130434782608,1.5797565217391305
48,2000-04,0.5980941176470588,8.279284999999998,0.5980941176470588,0.5980941176470588,0.5980941176470588,0.5980941176470588,1.5833444444444447
49,2000-05,0.578640909090909,8.278099999999997,0.578640909090909,0.578640909090909,0.578640909090909,0.578640909090909,1.5086666666666668
50,2000-06,0.5940047619047618,8.277199999999999,0.5940047619047618,0.5940047619047618,0.5940047619047618,0.5940047619047618,1.508059090909091
51,2000-07,0.5875263157894737,8.2794,0.5875263157894737,0.5875263157894737,0.5875263157894737,0.5875263157894737,1.5081736842105264
52,2000-08,0.581704347826087,8.279569565217392,0.581704347826087,0.581704347826087,0.581704347826087,0.581704347826087,1.4898863636363635
53,2000-09,0.5526842105263159,8.278580000000002,0.5526842105263159,0.5526842105263159,0.5526842105263159,0.5526842105263159,1.43308
54,2000-10,0.527375,8.278461904761903,0.527375,0.527375,0.527375,0.527375,1.4518238095238094
55,2000-11,0.522215,8.277345,0.522215,0.522215,0.522215,0.522215,1.4279350000000002
56,2000-12,0.5462722222222222,8.27713157894737,0.5462722222222222,0.5462722222222222,0.5462722222222222,0.5462722222222222,1.4599388888888891
57,2001-01,0.5565,8.277609523809526,0.5565,0.5565,0.5565,0.5565,1.4784428571428574
58,2001-02,0.5354526315789474,8.277057894736842,0.5354526315789474,0.5354526315789474,0.5354526315789474,0.5354526315789474,1.4538631578947367
59,2001-03,0.5037619047619046,8.277531818181817,0.5037619047619046,0.5037619047619046,0.5037619047619046,0.5037619047619046,1.4451727272727273
60,2001-04,0.5002222222222223,8.277100000000003,0.5002222222222223,0.5002222222222223,0.5002222222222223,0.5002222222222223,1.434785714285714
61,2001-05,0.5200636363636362,8.277250000000002,0.5200636363636362,0.5200636363636362,0.5200636363636362,0.5200636363636362,1.4252238095238094
62,2001-06,0.517945,8.277038095238098,0.517945,0.517945,0.517945,0.517945,1.401190476190476
63,2001-07,0.5097142857142858,8.276890476190477,0.5097142857142858,0.5097142857142858,0.5097142857142858,0.5097142857142858,1.414352380952381
64,2001-08,0.5251045454545455,8.276969565217392,0.5251045454545455,0.5251045454545455,0.5251045454545455,0.5251045454545455,1.4370136363636368
65,2001-09,0.5051736842105262,8.27681052631579,0.5051736842105262,0.5051736842105262,0.5051736842105262,0.5051736842105262,1.4630473684210525
66,2001-10,0.505395238095238,8.276809090909092,0.505395238095238,0.505395238095238,0.505395238095238,0.505395238095238,1.4505636363636363
67,2001-11,0.5172764705882352,8.27685789473684,0.5172764705882352,0.5172764705882352,0.5172764705882352,0.5172764705882352,1.4396473684210527
68,2001-12,0.514925,8.276872222222224,0.514925,0.514925,0.514925,0.514925,1.438935294117647
69,2002-01,0.5168666666666666,8.276663636363637,0.5168666666666666,0.5168666666666666,0.5168666666666666,0.5168666666666666,1.4323727272727274
70,2002-02,0.5128333333333333,8.276672222222222,0.5128333333333333,0.5128333333333333,0.5128333333333333,0.5128333333333333,1.4219777777777778
71,2002-03,0.524335,8.277076190476192,0.524335,0.524335,0.524335,0.524335,1.4223850000000002
72,2002-04,0.5353950000000001,8.277195454545454,0.5353950000000001,0.5353950000000001,0.5353950000000001,0.5353950000000001,1.4425999999999999
73,2002-05,0.5486809523809525,8.276990909090909,0.5486809523809525,0.5486809523809525,0.5486809523809525,0.5486809523809525,1.4594952380952377
74,2002-06,0.5694000000000001,8.277044999999998,0.5694000000000001,0.5694000000000001,0.5694000000000001,0.5694000000000001,1.4864166666666663
75,2002-07,0.5542181818181818,8.276795454545457,0.5542181818181818,0.5542181818181818,0.5542181818181818,0.5542181818181818,1.5548863636363635
76,2002-08,0.541615,8.276714285714286,0.541615,0.541615,0.541615,0.541615,1.5353761904761904
77,2002-09,0.5467833333333334,8.276969999999997,0.5467833333333334,0.5467833333333334,0.5467833333333334,0.5467833333333334,1.555215
78,2002-10,0.5500999999999999,8.277004545454544,0.5500999999999999,0.5500999999999999,0.5500999999999999,0.5500999999999999,1.557027272727273
79,2002-11,0.5613421052631579,8.277136842105262,0.5613421052631579,0.5613421052631579,0.5613421052631579,0.5613421052631579,1.574075789473684
80,2002-12,0.5630999999999999,8.27724,0.5630999999999999,0.5630999999999999,0.5630999999999999,0.5630999999999999,1.5851149999999996
81,2003-01,0.5817631578947368,8.276814285714288,0.5817631578947368,0.5817631578947368,0.5817631578947368,0.5817631578947368,1.6167999999999998
82,2003-02,0.5945058823529412,8.277261111111113,0.5945058823529412,0.5945058823529412,0.5945058823529412,0.5945058823529412,1.6111111111111112
83,2003-03,0.6023238095238094,8.277219047619047,0.6023238095238094,0.6023238095238094,0.6023238095238094,0.6023238095238094,1.5829095238095237
84,2003-04,0.6090263157894736,8.277131818181815,0.6090263157894736,0.6090263157894736,0.6090263157894736,0.6090263157894736,1.5742349999999998
85,2003-05,0.6464380952380954,8.276914285714284,0.6464380952380954,0.6464380952380954,0.6464380952380954,0.6464380952380954,1.6221238095238097
86,2003-06,0.664255,8.277066666666666,0.664255,0.664255,0.664255,0.664255,1.660609523809524
87,2003-07,0.6612727272727272,8.277218181818181,0.6612727272727272,0.6612727272727272,0.6612727272727272,0.6612727272727272,1.6230318181818182
88,2003-08,0.6511799999999999,8.277014285714285,0.6511799999999999,0.6511799999999999,0.6511799999999999,0.6511799999999999,1.5931666666666666
89,2003-09,0.6617299999999999,8.277134999999998,0.6617299999999999,0.6617299999999999,0.6617299999999999,0.6617299999999999,1.6121100000000002
90,2003-10,0.6942333333333331,8.276777272727275,0.6942333333333331,0.6942333333333331,0.6942333333333331,0.6942333333333331,1.6770909090909092
91,2003-11,0.7151555555555558,8.276905555555556,0.7151555555555558,0.7151555555555558,0.7151555555555558,0.7151555555555558,1.685877777777778
92,2003-12,0.7383238095238095,8.277000000000003,0.7383238095238095,0.7383238095238095,0.7383238095238095,0.7383238095238095,1.7495333333333334
